inventory_id,change_kind,changed_fields,previous_normative_text,current_normative_text,previous_active_blockers,current_active_blockers,previous_primary_specs,current_primary_specs
FR-016,UPDATED,verification_refs,"Each target profile must define the required source coverage, specimen coverage, evidence categories, prior-art inspection, contradiction detection, and traceability conditions needed for saturation.","Each target profile must define the required source coverage, specimen coverage, evidence categories, prior-art inspection, contradiction detection, and traceability conditions needed for saturation.",BD-004,BD-004,TS-02,TS-02
FR-017,UPDATED,verification_refs,"The Builder must distinguish missing evidence, unreadable evidence, sparse target evidence, contradictory sources, contradictory authority, and unresolved provenance.","The Builder must distinguish missing evidence, unreadable evidence, sparse target evidence, contradictory sources, contradictory authority, and unresolved provenance.",BD-004,BD-004,TS-02,TS-02
FR-018,UPDATED,verification_refs,"The Builder must issue PASS, PASS_WITH_LIMITATIONS, BLOCKED_MISSING_EVIDENCE, BLOCKED_CONTRADICTORY_AUTHORITY, or INSUFFICIENT_TARGET_EVIDENCE with evidence and downstream consequences.","The Builder must issue PASS, PASS_WITH_LIMITATIONS, BLOCKED_MISSING_EVIDENCE, BLOCKED_CONTRADICTORY_AUTHORITY, or INSUFFICIENT_TARGET_EVIDENCE with evidence and downstream consequences.",BD-004,BD-004,TS-02,TS-02
FR-019,UPDATED,verification_refs,"The Builder must deterministically derive stable specimen and frame or slide identities, canvas metadata, aspect ratios, ordering, hashes, and analysis-ready representations.","The Builder must deterministically derive stable specimen and frame or slide identities, canvas metadata, aspect ratios, ordering, hashes, and analysis-ready representations.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-020,UPDATED,verification_refs,The Builder must calculate exact duplicate relationships and may propose near-duplicate clusters without discarding provenance.,The Builder must calculate exact duplicate relationships and may propose near-duplicate clusters without discarding provenance.,BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-021,UPDATED,verification_refs,"For every visual specimen, the Builder must identify major components, regions, containers, overlays, sequence markers, images, text roles, and category-relevant state elements using a typed schema.","For every visual specimen, the Builder must identify major components, regions, containers, overlays, sequence markers, images, text roles, and category-relevant state elements using a typed schema.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-022,UPDATED,verification_refs,Visual Syntactic Parsing must use a canonical capability ontology extended by the selected category and format profile rather than one universal vision prompt.,Visual Syntactic Parsing must use a canonical capability ontology extended by the selected category and format profile rather than one universal vision prompt.,BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-023,UPDATED,verification_refs,Every major spatial component must include validated normalized bounding boxes or an explicit geometry-unavailable status.,Every major spatial component must include validated normalized bounding boxes or an explicit geometry-unavailable status.,BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-024,UPDATED,verification_refs,"The Builder must record relationships such as alignment, containment, pairing, overlap, anchoring, ordering, gaze, and category-specific scene relations between valid component IDs.","The Builder must record relationships such as alignment, containment, pairing, overlap, anchoring, ordering, gaze, and category-specific scene relations between valid component IDs.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-025,UPDATED,verification_refs,"The Builder must draft attention hierarchy, reading order, typography roles, color roles, negative-space behavior, and density using evidence-linked fields.","The Builder must draft attention hierarchy, reading order, typography roles, color roles, negative-space behavior, and density using evidence-linked fields.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-026,UPDATED,verification_refs,"The Builder must classify material visual properties as invariant, controlled variable, content slot, optional component, specimen anomaly, or unknown with confidence and supporting specimens.","The Builder must classify material visual properties as invariant, controlled variable, content slot, optional component, specimen anomaly, or unknown with confidence and supporting specimens.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-027,UPDATED,verification_refs,"For video and animation categories, the Builder must identify appearance, persistence, motion, pose or state change, transition, timing, cut, sonic relation, and disappearance across frames or shots.","For video and animation categories, the Builder must identify appearance, persistence, motion, pose or state change, transition, timing, cut, sonic relation, and disappearance across frames or shots.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-028,UPDATED,verification_refs,"The Builder must store measured geometry separately from visual-function hypotheses and require evidence, confidence, alternatives, and knowledge status for every proposed WHY.","The Builder must store measured geometry separately from visual-function hypotheses and require evidence, confidence, alternatives, and knowledge status for every proposed WHY.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-029,UPDATED,verification_refs,"After all relevant specimens are parsed, the Builder must compare them to propose persistent instruments, component grammar, variants, optional branches, anomalies, and forbidden mutations.","After all relevant specimens are parsed, the Builder must compare them to propose persistent instruments, component grammar, variants, optional branches, anomalies, and forbidden mutations.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-030,UPDATED,verification_refs,"The Builder must propose slide-role, scene-role, state-transition, pacing, and operator grammar appropriate to the selected category and format profile.","The Builder must propose slide-role, scene-role, state-transition, pacing, and operator grammar appropriate to the selected category and format profile.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-031,UPDATED,verification_refs,"Only after syntactic and function parsing may the Builder propose recognition mechanism, hidden pressure, viewer role, prediction gap, intended reaction, memetic expression, and wrong-reading risks.","Only after syntactic and function parsing may the Builder propose recognition mechanism, hidden pressure, viewer role, prediction gap, intended reaction, memetic expression, and wrong-reading risks.",BD-004;BD-007,BD-004;BD-007,TS-03,TS-03
FR-103,UPDATED,verification_refs,"The Builder must define distinct evaluation suites for Canonical Skills, harness adaptations, composition recipes, JIT capsules, and end-to-end phase behavior.","The Builder must define distinct evaluation suites for Canonical Skills, harness adaptations, composition recipes, JIT capsules, and end-to-end phase behavior.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-104,UPDATED,verification_refs,Behavior-shaping skills and prompt guidance must be compared with a realistic control that omits the candidate guidance.,Behavior-shaping skills and prompt guidance must be compared with a realistic control that omits the candidate guidance.,BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-105,UPDATED,verification_refs,"Important stochastic evaluations must execute multiple fresh-context repetitions per variant and record mean, minimum, variance, failure frequency, and confidence estimates.","Important stochastic evaluations must execute multiple fresh-context repetitions per variant and record mean, minimum, variance, failure frequency, and confidence estimates.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-106,UPDATED,verification_refs,"Skill and phase suites must include correct applications, near-misses, counterexamples, insufficient inputs, contradictions, tempting irrelevant context, and pressure to violate a rule.","Skill and phase suites must include correct applications, near-misses, counterexamples, insufficient inputs, contradictions, tempting irrelevant context, and pressure to violate a rule.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-107,UPDATED,verification_refs,"Draft, evaluation_pending, experimental, tested, stable, deprecated, and superseded maturity transitions must require target-specific evaluation evidence and regression policies.","Draft, evaluation_pending, experimental, tested, stable, deprecated, and superseded maturity transitions must require target-specific evaluation evidence and regression policies.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-108,UPDATED,verification_refs,"The evaluation system must bind exact source IR, skill package, adaptation, recipe, capsule, compiler, model policy, dataset, and scoring versions.","The evaluation system must bind exact source IR, skill package, adaptation, recipe, capsule, compiler, model policy, dataset, and scoring versions.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-109,UPDATED,verification_refs,"The Builder must use one mandatory primary reference harness, contrasting transfer harnesses, and later Visual Asset Editor and Delegation targets before general certification.","The Builder must use one mandatory primary reference harness, contrasting transfer harnesses, and later Visual Asset Editor and Delegation targets before general certification.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-110,UPDATED,verification_refs,"Each benchmark target must contain real specimens, expert goldens, known failures, adversarial near-misses, incomplete or contradictory evidence, controlled mutations, transfer cases, and protected release cases.","Each benchmark target must contain real specimens, expert goldens, known failures, adversarial near-misses, incomplete or contradictory evidence, controlled mutations, transfer cases, and protected release cases.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-111,UPDATED,verification_refs,"The benchmark system must support one-variable mutations such as preserving topic while changing grammar, preserving grammar while changing topic, removing a sequence invariant, swapping semantic polarity, or injecting irrelevant style evidence.","The benchmark system must support one-variable mutations such as preserving topic while changing grammar, preserving grammar while changing topic, removing a sequence invariant, swapping semantic polarity, or injecting irrelevant style evidence.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-112,UPDATED,verification_refs,"Protected benchmark access, label changes, scoring changes, and case retirement must be governed, versioned, and audited.","Protected benchmark access, label changes, scoring changes, and case retirement must be governed, versioned, and audited.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-113,UPDATED,verification_refs,"Builder evaluation must report evidence understanding, visual and temporal understanding, atomicity, product architecture, skill system, evaluation and repair quality, implementation readiness, and downstream performance as separate dimensions.","Builder evaluation must report evidence understanding, visual and temporal understanding, atomicity, product architecture, skill system, evaluation and repair quality, implementation readiness, and downstream performance as separate dimensions.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-114,UPDATED,verification_refs,"Critical unsupported decisions, evidence failures, wrong atomicity, contract contradictions, silent rewrites, untested required skills, benchmark leakage, false readiness, and anti-goal violations must fail release regardless of average score.","Critical unsupported decisions, evidence failures, wrong atomicity, contract contradictions, silent rewrites, untested required skills, benchmark leakage, false readiness, and anti-goal violations must fail release regardless of average score.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-115,UPDATED,verification_refs,Release reports must include distribution and dominant failure patterns for stochastic dimensions rather than a single run score.,Release reports must include distribution and dominant failure patterns for stochastic dimensions rather than a single run score.,BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-116,UPDATED,verification_refs,"The Builder benchmark system must accept implementation questions, spec deltas, test failures, latency and cost, repair rounds, first-pass acceptance, human preference, wrong-reading outcomes, and certification results linked to the Builder version that produced the capsule.","The Builder benchmark system must accept implementation questions, spec deltas, test failures, latency and cost, repair rounds, first-pass acceptance, human preference, wrong-reading outcomes, and certification results linked to the Builder version that produced the capsule.",BD-004;BD-008,BD-004;BD-008,TS-10,TS-10
FR-117,UPDATED,verification_refs,"The Control Tower must display target, category and format profile, lifecycle stage, overall status, active blockers, pending human decisions, authorization trajectory, elapsed time, and actual versus budgeted cost and tokens.","The Control Tower must display target, category and format profile, lifecycle stage, overall status, active blockers, pending human decisions, authorization trajectory, elapsed time, and actual versus budgeted cost and tokens.",,,TS-12,TS-12
FR-118,UPDATED,verification_refs,"Operators must be able to inspect each phase's state, dependencies, executor, active capsule, inputs, outputs, completion criteria, context manifest, failure owner, and timestamps.","Operators must be able to inspect each phase's state, dependencies, executor, active capsule, inputs, outputs, completion criteria, context manifest, failure owner, and timestamps.",,,TS-12,TS-12
FR-119,UPDATED,verification_refs,"The Control Tower must provide source coverage, specimen inventory, contact sheets, frame or slide navigation, parse overlays, BBOX maps, relationship graphs, composition variables, confidence, knowledge status, gaps, and contradictions.","The Control Tower must provide source coverage, specimen inventory, contact sheets, frame or slide navigation, parse overlays, BBOX maps, relationship graphs, composition variables, confidence, knowledge status, gaps, and contradictions.",,,TS-12,TS-12
FR-120,UPDATED,verification_refs,"The UI must show decision dependencies, recommendations, evidence, human answers, final decisions, authority status, reopened nodes, waivers, and downstream effects.","The UI must show decision dependencies, recommendations, evidence, human answers, final decisions, authority status, reopened nodes, waivers, and downstream effects.",,,TS-12,TS-12
FR-121,UPDATED,verification_refs,"The UI must show selected canonical skills, harness adaptations, composition recipes, maturity, behavioral results, loaded references, context inclusion and exclusion, capsule hashes, budgets, and model policy.","The UI must show selected canonical skills, harness adaptations, composition recipes, maturity, behavioral results, loaded references, context inclusion and exclusion, capsule hashes, budgets, and model policy.",,,TS-12,TS-12
FR-122,UPDATED,verification_refs,"Operators must be able to inspect producer and consumer graphs, contract versions and authority, module ownership, test seams, compatibility, and invalidation edges.","Operators must be able to inspect producer and consumer graphs, contract versions and authority, module ownership, test seams, compatibility, and invalidation edges.",,,TS-12,TS-12
FR-123,UPDATED,verification_refs,"The UI must show score dimensions, hard gates, failed cases, repetition distributions, dominant failure patterns, root-cause owner, repair attempts, invalidated artifacts, and before/after results.","The UI must show score dimensions, hard gates, failed cases, repetition distributions, dominant failure patterns, root-cause owner, repair attempts, invalidated artifacts, and before/after results.",,,TS-12,TS-12
FR-124,UPDATED,verification_refs,"Every deterministic and stochastic operation must report timing, tokens where applicable, model or provider, retries, cache behavior, and budget status to the observability system.","Every deterministic and stochastic operation must report timing, tokens where applicable, model or provider, retries, cache behavior, and budget status to the observability system.",,,TS-12,TS-12
FR-125,UPDATED,verification_refs,"The Control Tower may support approve, reject, request evidence, correct a parse, ratify, waive, trigger targeted repair, compare releases, freeze, and export actions only through typed commands that validate authority and append receipts.","The Control Tower may support approve, reject, request evidence, correct a parse, ratify, waive, trigger targeted repair, compare releases, freeze, and export actions only through typed commands that validate authority and append receipts.",,,TS-12,TS-12
FR-126,UPDATED,verification_refs,"All Control Tower read models must derive from authoritative IR, ledger, registries, and receipts; UI caches and local component state may not define product truth.","All Control Tower read models must derive from authoritative IR, ledger, registries, and receipts; UI caches and local component state may not define product truth.",,,TS-12,TS-12
FR-127,UPDATED,verification_refs,"The Builder must classify evidence, visual parse, atomicity, authority, contract, module, skill, capsule, benchmark, budget, provider, observability, migration, and downstream implementation failures with stable codes.","The Builder must classify evidence, visual parse, atomicity, authority, contract, module, skill, capsule, benchmark, budget, provider, observability, migration, and downstream implementation failures with stable codes.",BD-008,BD-008,TS-13,TS-13
FR-128,UPDATED,verification_refs,"A repair may not be proposed until the Builder records the observed symptom, reproduction or evidence, affected boundary, competing hypotheses, and selected root cause with confidence.","A repair may not be proposed until the Builder records the observed symptom, reproduction or evidence, affected boundary, competing hypotheses, and selected root cause with confidence.",BD-008,BD-008,TS-13,TS-13
FR-129,UPDATED,verification_refs,"For each known failure class, the Builder must define the responsible phase or capability, permitted repair fields, frozen state, invalidated descendants, regression suite, escalation conditions, and authority needed.","For each known failure class, the Builder must define the responsible phase or capability, permitted repair fields, frozen state, invalidated descendants, regression suite, escalation conditions, and authority needed.",BD-008,BD-008,TS-13,TS-13
FR-130,UPDATED,verification_refs,"Targeted repairs must retain source locks, measured observations, ratified decisions, contracts, and artifacts that remain supported by evidence.","Targeted repairs must retain source locks, measured observations, ratified decisions, contracts, and artifacts that remain supported by evidence.",BD-008,BD-008,TS-13,TS-13
FR-131,UPDATED,verification_refs,"After repair, the Builder must rerun all tests and benchmarks required by the repaired capability and every affected descendant, including protected cases where policy permits.","After repair, the Builder must rerun all tests and benchmarks required by the repaired capability and every affected descendant, including protected cases where policy permits.",BD-008,BD-008,TS-13,TS-13
FR-132,UPDATED,verification_refs,"The Builder must require human review when a repair changes a ratified constitutional decision, broadens the harness boundary, modifies a stable canonical skill, encounters contradictory doctrine, or fails repeatedly beyond the configured threshold.","The Builder must require human review when a repair changes a ratified constitutional decision, broadens the harness boundary, modifies a stable canonical skill, encounters contradictory doctrine, or fails repeatedly beyond the configured threshold.",BD-008,BD-008,TS-13,TS-13
FR-133,UPDATED,verification_refs,"Readiness must validate evidence saturation, atomicity, constitutional authority, Harness IR consistency, phases, contexts, contracts, modules, skill maturity, benchmark results, repair coverage, observability, budgets, and target-specific requirements.","Readiness must validate evidence saturation, atomicity, constitutional authority, Harness IR consistency, phases, contexts, contracts, modules, skill maturity, benchmark results, repair coverage, observability, budgets, and target-specific requirements.",BD-008,BD-008,TS-13,TS-13
FR-134,UPDATED,verification_refs,"The Builder must issue AUTHORIZED_FOR_IMPLEMENTATION, AUTHORIZED_FOR_PROTOTYPE_ONLY, NEEDS_RATIFICATION, BLOCKED_EVIDENCE, BLOCKED_SKILL_MATURITY, BLOCKED_BENCHMARK, BLOCKED_ARCHITECTURE, or another target-profiled blocking status.","The Builder must issue AUTHORIZED_FOR_IMPLEMENTATION, AUTHORIZED_FOR_PROTOTYPE_ONLY, NEEDS_RATIFICATION, BLOCKED_EVIDENCE, BLOCKED_SKILL_MATURITY, BLOCKED_BENCHMARK, BLOCKED_ARCHITECTURE, or another target-profiled blocking status.",BD-008,BD-008,TS-13,TS-13
FR-135,UPDATED,verification_refs,"A prototype authorization must define the empirical question, allowed implementation scope, permitted artifacts, provisional decisions, required evidence return, disposal or migration policy, budget, and promotion conditions.","A prototype authorization must define the empirical question, allowed implementation scope, permitted artifacts, provisional decisions, required evidence return, disposal or migration policy, budget, and promotion conditions.",BD-008,BD-008,TS-13,TS-13
FR-136,UPDATED,verification_refs,"Every readiness and authorization decision must bind the exact Harness IR, source lock, category and profile versions, skill and benchmark receipts, waivers, compiler version, status, scope, and signatories.","Every readiness and authorization decision must bind the exact Harness IR, source lock, category and profile versions, skill and benchmark receipts, waivers, compiler version, status, scope, and signatories.",BD-008,BD-008,TS-13,TS-13
FR-137,UPDATED,title;normative_text;acceptance_or_enforcement;verification_refs;blocking_decisions;active_blockers,"The Builder must provide a category-independent Activative contract covering source premise, Coach Identity DNA, Context Premise, resonance, Matrix of Edging, hidden pressure, activation direction, viewer role, stance, stakes, identity urge, participation design, intended reaction, evidence provenance, and wrong-reading locks.","The Builder must provide a category-independent Activative contract covering source premise, Coach or Guest Identity DNA, Context Premise, resonance, Matrix of Edging, Activative Intelligence Pack identity, hidden pressure, activation directions, roles, stance, stakes, identity urges, participation design, intended reaction, smallest useful commitment, evidence provenance, evaluation contract, and wrong-reading locks.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-138,UPDATED,verification_refs;blocking_decisions;active_blockers,Every Atomic Content Harness must bind exactly one Canonical Format Category between the Shared Activative Core and its atomic constitution.,Every Atomic Content Harness must bind exactly one Canonical Format Category between the Shared Activative Core and its atomic constitution.,BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-139,UPDATED,title;normative_text;acceptance_or_enforcement;verification_refs;blocking_decisions;active_blockers,"The initial category registry must include Short-Form Edited Video, 2D Character Animation, Carousels, and Supervisuals with stable IDs and governance owners.","The initial category registry must include Short-Form Edited Video, 2D Character Animation, Carousels, Supervisuals, and Conversational Activation / Human Expression with stable IDs and governance owners.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-140,UPDATED,verification_refs;blocking_decisions;active_blockers,"Each category must own a versioned constitution defining production surface, specimen types, visual and temporal parsing, composition ontology, sequence model, runtime families, canonical skill requirements, registries, evaluation dimensions, repair classes, observability, compatibility, benchmarks, and migration policy.","Each category must own a versioned constitution defining production surface, specimen types, visual and temporal parsing, composition ontology, sequence model, runtime families, canonical skill requirements, registries, evaluation dimensions, repair classes, observability, compatibility, benchmarks, and migration policy.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-141,UPDATED,verification_refs;blocking_decisions;active_blockers,"A category constitution must support governed format profiles that specialize parsing, sequencing, state, runtime, skill, evaluation, and repair rules before the atomic harness overlay.","A category constitution must support governed format profiles that specialize parsing, sequencing, state, runtime, skill, evaluation, and repair rules before the atomic harness overlay.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-142,UPDATED,verification_refs;blocking_decisions;active_blockers,"The Short-Form Edited Video category must support the governed profiles for Format 01 Story Video, Format 03 Living Commentary, Format 04 Conscious Reaction, Format 05 Silent Dialogue Theatre, Format 06 Data Scale Race, Format 07 Direct Coaching A-Roll, and Format 08 Poetic Quote Theatre.","The Short-Form Edited Video category must support the governed profiles for Format 01 Story Video, Format 03 Living Commentary, Format 04 Conscious Reaction, Format 05 Silent Dialogue Theatre, Format 06 Data Scale Race, Format 07 Direct Coaching A-Roll, and Format 08 Poetic Quote Theatre.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-143,UPDATED,verification_refs;blocking_decisions;active_blockers,The 2D Character Animation category must initially contain the Format 02 Minimal Coach Theatre profile and must not be collapsed into generic edited video.,The 2D Character Animation category must initially contain the Format 02 Minimal Coach Theatre profile and must not be collapsed into generic edited video.,BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-144,UPDATED,verification_refs;blocking_decisions;active_blockers,"The Format 02 profile must require versioned character identity, pose, expression, gesture, gaze, prop and attachment, animation primitive, character state, scene relationship, camera and framing, transition, sonic cue, and compatibility registries as applicable.","The Format 02 profile must require versioned character identity, pose, expression, gesture, gaze, prop and attachment, animation primitive, character state, scene relationship, camera and framing, transition, sonic cue, and compatibility registries as applicable.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-145,UPDATED,title;normative_text;acceptance_or_enforcement;verification_refs;blocking_decisions;active_blockers,The Visual Syntactic Parsing capability must load category and format ontologies appropriate to the production substrate.,"The syntax-parsing capability must load category and format ontologies appropriate to the production substrate, including conversational turn and Expression Moment parsing where applicable.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-146,UPDATED,title;normative_text;acceptance_or_enforcement;verification_refs;blocking_decisions;active_blockers,"Time-based and multi-frame categories must derive observed and hypothesized sequence structure using category-native state, beat, transition, continuity, pacing, and sonic relationships.","Sequence-bearing categories must derive observed and hypothesized structure using category-native state, beat, turn, transition, continuity, pacing, silence, and sonic relationships.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-147,UPDATED,title;normative_text;acceptance_or_enforcement;verification_refs;blocking_decisions;active_blockers,"Every sequence-bearing harness must receive a format-adapted capability that translates ratified Activative meaning and parsed syntax into viewer-state beats, prediction gaps, scene or slide roles, transitions, asset states, pacing, sonic cues, payoff, and intended reaction.","Every sequence-bearing harness must receive a format-adapted capability that translates ratified Activative meaning and parsed syntax into viewer or participant roles, state beats, prediction gaps, scene, slide, or conversational-turn roles, transitions, asset or expression states, pacing, silence or sonic cues, payoff, intended reaction, and smallest useful commitment.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-148,UPDATED,verification_refs;blocking_decisions;active_blockers,"Each category and profile must contribute its own runtime constraints, invariant tests, quality dimensions, wrong-reading classes, continuity checks, repair ownership, and required telemetry.","Each category and profile must contribute its own runtime constraints, invariant tests, quality dimensions, wrong-reading classes, continuity checks, repair ownership, and required telemetry.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-149,UPDATED,verification_refs;blocking_decisions;active_blockers,"The atomic harness overlay must own its exact production promise, semantic workcell, visual or temporal grammar, legal variables, composition templates, evaluation thresholds, and repair behavior that are not proven category mechanisms.","The atomic harness overlay must own its exact production promise, semantic workcell, visual or temporal grammar, legal variables, composition templates, evaluation thresholds, and repair behavior that are not proven category mechanisms.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-150,UPDATED,verification_refs;blocking_decisions;active_blockers,"Category and format-profile changes must generate compatibility analysis, dependent-harness regression plans, migration artifacts, deprecation policy, and receipts.","Category and format-profile changes must generate compatibility analysis, dependent-harness regression plans, migration artifacts, deprecation policy, and receipts.",BD-004;BD-014,BD-004;BD-007;BD-008;BD-010;BD-014,TS-11,TS-11
FR-151,UPDATED,verification_refs,"The Builder must package authorization, Harness IR, readable specifications, contracts, skill bindings and adaptations, runtime graphs, module manifests, tests, implementation planning, and observability configuration into one versioned handoff.","The Builder must package authorization, Harness IR, readable specifications, contracts, skill bindings and adaptations, runtime graphs, module manifests, tests, implementation planning, and observability configuration into one versioned handoff.",BD-008,BD-008,TS-13,TS-13
FR-152,UPDATED,verification_refs,"Every generated contract, module, skill, test, story, and dashboard element must map to governing decisions, FRs or NFRs, and Harness IR nodes.","Every generated contract, module, skill, test, story, and dashboard element must map to governing decisions, FRs or NFRs, and Harness IR nodes.",BD-008,BD-008,TS-13,TS-13
FR-153,UPDATED,verification_refs,"The Builder may create schema classes, interface stubs, module shells, manifests, fixtures, and configuration only when an approved IR responsibility, contract, test seam, or runtime need justifies them.","The Builder may create schema classes, interface stubs, module shells, manifests, fixtures, and configuration only when an approved IR responsibility, contract, test seam, or runtime need justifies them.",BD-008,BD-008,TS-13,TS-13
FR-154,UPDATED,verification_refs,"The capsule must include machine-validatable schemas or interface definitions, positive examples, negative examples, version compatibility rules, and producer-consumer mappings for each required contract.","The capsule must include machine-validatable schemas or interface definitions, positive examples, negative examples, version compatibility rules, and producer-consumer mappings for each required contract.",BD-008,BD-008,TS-13,TS-13
FR-155,UPDATED,verification_refs,"The capsule must include contract, unit-seam, behavioral, integration, golden, adversarial, and benchmark fixtures required by the authorized implementation scope.","The capsule must include contract, unit-seam, behavioral, integration, golden, adversarial, and benchmark fixtures required by the authorized implementation scope.",BD-008,BD-008,TS-13,TS-13
FR-156,UPDATED,verification_refs,"The implementation plan must decompose authorized scope into stories that deliver complete testable behavior, fit one development-agent context, use only previous-story dependencies, and map to FRs, NFRs, contracts, modules, and acceptance criteria.","The implementation plan must decompose authorized scope into stories that deliver complete testable behavior, fit one development-agent context, use only previous-story dependencies, and map to FRs, NFRs, contracts, modules, and acceptance criteria.",BD-008,BD-008,TS-13,TS-13
FR-157,UPDATED,verification_refs,"The capsule must identify the narrowest end-to-end reference path that proves evidence, one core transformation, one format projection, evaluation, observability, and targeted repair for the selected reference harness.","The capsule must identify the narrowest end-to-end reference path that proves evidence, one core transformation, one format projection, evaluation, observability, and targeted repair for the selected reference harness.",BD-008,BD-008,TS-13,TS-13
FR-158,UPDATED,verification_refs,"When implementation reveals a genuine contradiction or missing decision, the team must create a typed delta linked to the affected IR nodes rather than silently altering constitutional or creative policy in code.","When implementation reveals a genuine contradiction or missing decision, the team must create a typed delta linked to the affected IR nodes rather than silently altering constitutional or creative policy in code.",BD-008,BD-008,TS-13,TS-13
FR-159,UPDATED,verification_refs,"The Builder must accept structured implementation questions, delta outcomes, tests, defects, runtime metrics, repair history, and certification evidence and link them to the Builder and capsule versions that caused them.","The Builder must accept structured implementation questions, delta outcomes, tests, defects, runtime metrics, repair history, and certification evidence and link them to the Builder and capsule versions that caused them.",BD-008,BD-008,TS-13,TS-13
FR-167,UPDATED,verification_refs,"Release 1 must implement the complete Builder spine and use it to specify, implement, evaluate, repair, and certify one Atomic Content Harness vertical slice.","Release 1 must implement the complete Builder spine and use it to specify, implement, evaluate, repair, and certify one Atomic Content Harness vertical slice.",,,TS-15,TS-15
FR-168,UPDATED,verification_refs,"Release 1 may include structural profiles for other categories, Visual Asset Editor, and Delegation Contract, but must mark them uncertified until their required benchmarks and transfer gates pass.","Release 1 may include structural profiles for other categories, Visual Asset Editor, and Delegation Contract, but must mark them uncertified until their required benchmarks and transfer gates pass.",,,TS-15,TS-15
FR-169,UPDATED,normative_text;verification_refs;blocking_decisions;active_blockers,"The Builder may claim general production readiness only after successful transfer across materially different atomic harnesses, all four category constitutions, the Visual Asset Editor, and the Delegation Contract according to their target gates.","The Builder may claim general production readiness only after successful transfer across materially different atomic harnesses, all five category constitutions, the Visual Asset Editor, and the Delegation Contract according to their target gates.",,BD-004;BD-007;BD-008;BD-010;BD-014,TS-15,TS-15
FR-170,UPDATED,verification_refs,"The Builder must register Atomic Content Harness, Visual Asset Editor, and Content↔Asset Delegation Contract as explicit versioned compilation targets sharing only proven control-plane and IR abstractions.","The Builder must register Atomic Content Harness, Visual Asset Editor, and Content↔Asset Delegation Contract as explicit versioned compilation targets sharing only proven control-plane and IR abstractions.",BD-014,BD-014,TS-11,TS-11
FR-171,UPDATED,verification_refs,"The content profile must cover evidence and specimens, Visual Syntax First, atomicity, Activative semantics, category and format profiles, sequencing, assets, runtime, JIT skills, evaluation, repair, and content-harness authorization.","The content profile must cover evidence and specimens, Visual Syntax First, atomicity, Activative semantics, category and format profiles, sequencing, assets, runtime, JIT skills, evaluation, repair, and content-harness authorization.",BD-014,BD-014,TS-11,TS-11
