requirement_id,requirement_type,title,feature_id,decisions,journeys,nfrs,testable_consequence_1,testable_consequence_2
FR-035,FR,Compile composition controls from intent,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Each compiled control traces to one demand field or feasibility result.,Provider parameters without a governing composition reason are rejected from the canonical binding.
FR-036,FR,Return image-conditioned geometry,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Downstream composition can validate fit without rerunning the full production model.,An asset requiring geometry that lacks the applicable geometry pack cannot be authorized for composition.
FR-037,FR,Respect composition tolerance,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The result contract records requested versus realized geometry and tolerance consumption.,A change outside tolerance triggers a demand amendment proposal rather than silent relocation.
FR-038,FR,Evaluate assets in rendered composition context,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Evaluation evidence includes the rendered composition hash and detected collisions or hierarchy outcomes.,Standalone asset quality cannot substitute for composition-context evaluation.
FR-039,FR,Generate deterministic delivery geometry variants,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Delivery variants retain protected regions and focal visibility.,A crop that removes the required action or subject evidence fails variant authorization.
FR-040,FR,Return typed composition conflicts and recommendations,F05,D004|D009|D012|D017|D018|D024,UJ-03|UJ-04|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The original demand remains immutable and each option states semantic and Activative impact.,The editor cannot accept its own out-of-tolerance amendment.
FR-041,FR,Register canonical production routes,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,The router can validate route eligibility before planning.,An unregistered route cannot execute in production.
FR-042,FR,Select the least complex reliable route,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,The plan records selected and rejected alternatives with evidence.,Generation-first selection without comparison fails routing evaluation when a simpler certified route can satisfy the demand.
FR-043,FR,Support governed hybrid routes,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,"Every stage has typed contracts, dependencies, validators, and lineage relationships.",A hybrid plan cannot hide an unsupported or uncertified stage.
FR-044,FR,Prefer governed asset reuse when suitable,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,The reuse decision includes suitability and recurrence evidence.,"Low raw similarity alone cannot exclude a strong syntax-context match, and high similarity alone cannot authorize a poor role match."
FR-045,FR,Prepare and validate source/control inputs,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,"Prepared inputs receive hashes, geometry, class, and validation status.",A production node cannot consume unvalidated or mismatched control inputs.
FR-046,FR,Define route-specific fallback policies,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,Infrastructure or capability failure can select an approved alternative without changing demand authority.,A fallback that weakens a hard semantic or composition requirement must return a conflict instead.
FR-047,FR,Emit route and strategy receipts,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,Control Tower views can explain why a route was chosen and whether it changed during repair.,An accepted asset without a reconstructable resolution strategy is nonconformant.
FR-048,FR,Learn route effectiveness without self-modifying silently,F06,D005|D006|D010|D011|D012|D018|D019|D020,UJ-01|UJ-02|UJ-07|UJ-09|UJ-10,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-COST-001|NFR-COST-002|NFR-COST-003|NFR-COST-004|NFR-COST-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005,The system can compare expected and realized route performance by family and syntax context.,One successful or failed run cannot rewrite route defaults automatically.
FR-049,FR,Register specialist authorities,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"Each manifest declares owned decisions, inputs, outputs, tools, prohibited decisions, maturity, and evaluation profile.",A specialist cannot act outside its declared authority.
FR-050,FR,Compile the smallest sufficient workcell,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"A simple crop may skip research and generation; a new character scene activates the required analysis, plan, production, and evaluation authorities.",Unnecessary specialist activation is visible in cost and workflow tests.
FR-051,FR,Keep semantic interpretation bounded,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Its output traces each production-facing requirement to a demand field.,"A newly invented subject, message, sequence role, or wrong-reading rule is rejected."
FR-052,FR,Keep feasibility analysis measurable,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Its result can be validated against simulation or candidate geometry.,An unsupported qualitative feasibility conclusion cannot block or redirect production.
FR-053,FR,Separate strategy from materialization,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Execution receipts prove which plan and bindings were materialized.,Materializer-side changes beyond permitted runtime variation require a plan amendment.
FR-054,FR,Use deterministic policy services for source and registry checks,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Policy outcomes are reproducible and independently testable.,No routine Rights Analyst or manual rights queue appears in the certified workcell.
FR-055,FR,Keep evaluation independent from production,F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Evaluator identity and profile are pinned in the acceptance receipt.,A candidate approved only by its producing model is ineligible.
FR-056,FR,"Make the Asset Commander a workflow authority, not a creative agent",F07,D002|D010|D012|D013|D017|D018|D022,UJ-02|UJ-05|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Commander decisions are deterministic or based on typed specialist/evaluator contracts.,A general-agent Commander that silently combines all roles fails authority-separation tests.
FR-057,FR,Register ComfyUI workflow profiles,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The router can prove a workflow satisfies the plan’s capability requirements.,Ad hoc workflow JSON cannot run as a production profile.
FR-058,FR,"Register models, checkpoints, and VAEs",F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Production binding fails when a required model relationship is incompatible.,A filename alone cannot identify a production model.
FR-059,FR,Register LoRAs and adapters,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The compiler validates every stack and strength before execution.,An experimental or incompatible LoRA cannot silently enter a production run.
FR-060,FR,Register conditioning and control profiles,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Plans can request capabilities independent of provider-specific node names.,A missing control dependency creates a capability blocker rather than best-effort improvisation.
FR-061,FR,Register compute runtime profiles,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The scheduler chooses only profiles compatible with every bound capability.,A worker with an unregistered environment cannot receive production jobs.
FR-062,FR,Maintain typed compatibility relationships,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Registry validation catches broken or cyclic mandatory dependencies.,Compatibility cannot be inferred only from names or human memory.
FR-063,FR,Promote capabilities through maturity states,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Production routing excludes capabilities below the requested policy level.,Registry edits cannot change an active run’s pinned bindings.
FR-064,FR,Expose capability evidence and change impact,F08,D011|D015|D016|D017|D019|D025|D027,UJ-02|UJ-10|UJ-11|UJ-13|UJ-14,NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-EVAL-001|NFR-EVAL-002|NFR-EVAL-003|NFR-EVAL-004|NFR-EVAL-005|NFR-COMPUTE-001|NFR-COMPUTE-002|NFR-COMPUTE-003|NFR-COMPUTE-004|NFR-COMPUTE-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,A proposed registry update calculates its blast radius before promotion.,A capability with unknown dependent certified paths cannot be removed.
FR-065,FR,Compile every accepted demand into a Visual Production Plan,F09,D003|D005|D009|D011|D012|D013|D018|D019|D024,UJ-01|UJ-02|UJ-03|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Every execution node traces to one plan node and one authoritative need.,Direct demand-to-ComfyUI execution without a canonical plan is prohibited.
FR-066,FR,Declare preservation and mutable bindings,F09,D003|D005|D009|D011|D012|D013|D018|D019|D024,UJ-01|UJ-02|UJ-03|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Repair validation can prove no protected property was altered.,A binding not declared mutable cannot be changed by generation or repair.
FR-067,FR,Model typed stages and dependencies,F09,D003|D005|D009|D011|D012|D013|D018|D019|D024,UJ-01|UJ-02|UJ-03|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"The plan graph validator identifies orphan outputs, unavailable capabilities, illegal cycles, and unsatisfied dependencies.",A stage lacking an output contract cannot unlock downstream work.
FR-068,FR,Express capability requirements provider-neutrally,F09,D003|D005|D009|D011|D012|D013|D018|D019|D024,UJ-01|UJ-02|UJ-03|UJ-07|UJ-12,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Capability resolution can bind a different certified provider without changing plan meaning.,Provider-specific terminology cannot become the sole canonical representation.
