fr_id,change_class,previous_title,current_title,previous_requirement,current_requirement,reason
FR-073,PRESERVED_AND_DEEPENED,Activate Remotion adapter,Activate Remotion adapter,"The adapter shall render verified React/frame compositions, reusable scene components, data motion, captions and presenter paths.","The adapter shall render verified React/frame compositions, reusable scene components, data motion, captions and presenter paths.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-074,PRESERVED_AND_DEEPENED,Implement HyperFrames adapter,Implement HyperFrames adapter,"The adapter shall compile HTML/CSS/GSAP workspaces, run lint/validate/render and support kinetic typography, motion graphics, website-to-video and SVG animation.","The adapter shall compile HTML/CSS/GSAP workspaces, run lint/validate/render and support kinetic typography, motion graphics, website-to-video and SVG animation.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-075,PRESERVED_AND_DEEPENED,Enforce runtime selection lineage,Enforce runtime selection lineage,The final receipt shall prove the runtime used matches the authorized binding or an explicit superseding decision.,The final receipt shall prove the runtime used matches the authorized binding or an explicit superseding decision.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-076,PRESERVED_AND_DEEPENED,Translate from renderer-neutral plans,Translate from renderer-neutral plans,Renderer adapters shall consume typed Composition/Timeline plans instead of reading Skills or inventing visual strategy.,Renderer adapters shall consume typed Composition/Timeline plans instead of reading Skills or inventing visual strategy.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-077,PRESERVED_AND_DEEPENED,Perform technical post-render validation,Perform technical post-render validation,"Rendered outputs shall pass ffprobe, frame sampling, audio checks, transcript/caption checks and delivery-profile validation.","Rendered outputs shall pass ffprobe, frame sampling, audio checks, transcript/caption checks and delivery-profile validation.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-078,PRESERVED_AND_DEEPENED,Package final delivery artifacts,Package final delivery artifacts,"Export shall emit artifact hashes, codec/container profile, manifests, previews, logs and technical QA receipts.","Export shall emit artifact hashes, codec/container profile, manifests, previews, logs and technical QA receipts.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-079,AMENDED_AND_DEEPENED,Implement all 13 registry families,Keep Format 02 outside the active implementation queue,"The runtime shall require character identity, pose, expression, gesture, gaze, props, animation primitives, state, scene relationships, camera/framing, transitions, sonic cues and compatibility.","The Pipeline shall record Format 02 as DEFERRED_AWAITING_CURRENT_ATOMIC_HARNESS and shall not implement, expose, benchmark, or claim an executable character-performance path until the current Builder emits and independent validation accepts the complete current Format 02 AtomicHarnessDefinition.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-080,AMENDED_AND_DEEPENED,Define CharacterPerformanceProgram,Preserve the 13 registry families as future reconciliation requirements,"A renderer-neutral program shall bind character states, timings, relationships and staging to exact registry versions.","The historical character identity, pose, expression, gesture, gaze, props, animation primitives, state, scene relationships, camera/framing, transitions, sonic cues, and compatibility registries shall remain evidence inputs for future Harness reconciliation but shall not be instantiated as active Pipeline authority.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-081,AMENDED_AND_DEEPENED,Validate compatibility and continuity,Retain CharacterPerformanceProgram as a future renderer-neutral contract candidate,"Incompatible pose, expression, attachment, gaze or state transitions shall fail before rendering.","The predecessor CharacterPerformanceProgram and related typed objects shall be retained as candidate migration evidence, but the active schema shall be regenerated only from the validated current Format 02 Harness.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-082,AMENDED_AND_DEEPENED,Compile staging and framing,Retain staging and framing evidence without current execution authority,"The runtime shall preserve required relationship visibility, camera state and scene reading.","Historical Format 02 staging, relationship visibility, camera, scene-reading, and composition evidence may inform future specifications but shall not create a current rendering path.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-083,AMENDED_AND_DEEPENED,Support approved temporal embodiments,Defer temporal embodiment selection for Format 02,"HyperFrames, Remotion or a specialized character runtime may realize the program when their exact capability is bound.","HyperFrames, Remotion, Stretchy/Spine, or any specialized character runtime shall not be bound to Format 02 until the current Harness defines the exact capability, registry, evaluation, and compatibility requirements.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-084,AMENDED_AND_DEEPENED,Use predecessor Format 02 only as migration evidence,Use predecessor Format 02 assets only as historical migration evidence,The old golden path shall provide tests and object-spine evidence but cannot claim current approval or real rendering by itself.,"The predecessor golden path, object spine, schemas, tests, dry-run adapters, and synthetic outputs may be preserved for migration and future benchmark design but shall not imply current approval, real rendering, production readiness, or certification.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-085,AMENDED_AND_DEEPENED,Emit immutable Visual Asset Demands,Emit immutable source-grounded Visual Asset Demands through Delegation,"A Workflow Node shall send the exact semantic demand, asset role, geometry need, variation allowance, budget, deadline and evaluation contract through Delegation.","When a source-backed content job lacks or must repair a visual ingredient, the Pipeline shall emit an immutable Visual Asset Demand through Delegation containing the exact source lineage, semantic and composition role, asset family, geometry need, permitted variation, preservation locks, budget, deadline, and evaluation contract.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-086,AMENDED_AND_DEEPENED,Consume image-conditioned geometry,Consume VAE Asset Results with image-conditioned geometry,"Accepted VAE results shall return masks, BBOXes, gaze/motion, depth/layers, validated crops, negative-space regions and collision evidence as applicable.","The Pipeline shall consume accepted VAE Asset Results only after validating request/result identity, source and derivative lineage, asset-family scope, measured geometry, masks, gaze or motion, depth/layers, validated crops, negative-space regions, limitations, evaluation evidence, and downstream compatibility.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-087,AMENDED_AND_DEEPENED,Replace SAM3 placeholder with real execution,Keep SAM3 execution inside the Visual Asset Editor,The VAE shall implement pinned SAM3 image/video segmentation and tracking workers with exact mask artifacts and receipts.,"SAM3 segmentation and tracking shall be implemented, versioned, evaluated, and operated by the Visual Asset Editor behind its provider and capability interfaces; the Pipeline owns only demand, result, health, and receipt integration.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-088,AMENDED_AND_DEEPENED,Add Lucida as an evaluated matting candidate,Keep Lucida matting evaluation inside the Visual Asset Editor,"Lucida may refine alpha mattes for typography, glow, illustration, transparency and related cases after internal benchmark and dependency adoption review.","Lucida or any replacement matting provider may be evaluated and, if authorized, executed only within the VAE capability registry and production plan; the Pipeline shall not own provider selection or matting semantics.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-089,AMENDED_AND_DEEPENED,Support layered visual generation providers,Keep layered visual generation and GNM behind VAE capability routing,Qwen-Image-Layered and other providers shall remain registry-bound capabilities rather than product authority.,"Layered image providers, ComfyUI workflows, and Google GNM facial-geometry references shall remain VAE-owned capabilities selected by the Visual Production Plan; they are not Pipeline, Interview Expression, or identity-authority components.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-090,AMENDED_AND_DEEPENED,Validate Asset Results before continuation,Validate Asset Results and downstream usage before continuation,"The Pipeline shall verify demand/result identity, geometry, lineage and evaluation before composition resumes.","The Pipeline shall resume composition only after the VAE result passes demand identity, authority, source lineage, geometry, evaluation, artifact integrity, supersession, and usage-acknowledgement checks.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-091,PRESERVED_AND_DEEPENED,Verify mechanically decidable conditions,Verify mechanically decidable conditions,"Contracts, geometry, text fit, timing, source lineage, tool use, export and execution-envelope conditions shall use deterministic verification.","Contracts, geometry, text fit, timing, source lineage, tool use, export and execution-envelope conditions shall use deterministic verification.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-092,PRESERVED_AND_DEEPENED,Evaluate judgment dimensions independently,Evaluate judgment dimensions independently,"Separate evaluators shall assess semantic fidelity, Activative function, category-native grammar, composition, temporal effect and wrong-reading risk.","Separate evaluators shall assess semantic fidelity, Activative function, category-native grammar, composition, temporal effect and wrong-reading risk.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-093,PRESERVED_AND_DEEPENED,Reparse rendered Visual Syntax,Reparse rendered Visual Syntax,"Static and temporal outputs shall be parsed back into observed BBOX, hierarchy, reading-order and timing evidence for comparison with the intended contract.","Static and temporal outputs shall be parsed back into observed BBOX, hierarchy, reading-order and timing evidence for comparison with the intended contract.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-094,PRESERVED_AND_DEEPENED,Attribute failures to responsible layers,Attribute failures to responsible layers,"Diagnosis shall distinguish knowledge, retrieval, context, Programmed Model, tool, runtime, VAE and evaluator defects.","Diagnosis shall distinguish knowledge, retrieval, context, Programmed Model, tool, runtime, VAE and evaluator defects.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-095,PRESERVED_AND_DEEPENED,Repair only declared units,Repair only declared units,A repair shall change only the diagnosed unit and its permitted dependent units while preserving already-valid relationships.,A repair shall change only the diagnosed unit and its permitted dependent units while preserving already-valid relationships.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-096,PRESERVED_AND_DEEPENED,Escalate human-owned conflicts,Escalate human-owned conflicts,"Unresolved taste, new meaning, identity/operator source authorization and policy exceptions shall route to attributable human authority.","Unresolved taste, new meaning, identity/operator source authorization and policy exceptions shall route to attributable human authority.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-097,AMENDED_AND_DEEPENED,Persist immutable production episodes,Persist complete production and human-resolution episodes,"Each episode shall link state, JIT Capsule, candidate portfolio, actions, renders, evaluation, human resolution and outcome.","Each accepted, rejected, repaired, escalated, and human-resolved production episode shall link the source package, Harness, run state, JIT Capsule, candidates, exact tool operations, renders, evaluations, decision authority, result, and downstream outcome.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-098,AMENDED_AND_DEEPENED,Attribute learning to the responsible layer,Attribute learning opportunities to the responsible layer,"The system shall distinguish knowledge, retrieval, recipe, Skill, model, tool, runtime and evaluator opportunities.","The system shall diagnose whether an episode indicates a source, knowledge, retrieval, context, Skill, Steering Recipe, Programmed Model, tool, runtime, VAE, evaluator, or human-policy opportunity before it enters any learning queue.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-099,AMENDED_AND_DEEPENED,Compile versioned training corpora,Compile operator-authorized versioned programming-material corpora,"SFT, preference, repair, hard-negative and retrieval-obedience sets shall preserve source authority, provenance, splits and invalidation.","Supervised demonstrations, preference pairs, hard negatives, repair trajectories, retrieval-obedience cases, and revision-program examples shall be built offline from eligible episodes with exact source authority, operator source authorization, provenance, scope, splits, hashes, and invalidation.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-100,AMENDED_AND_DEEPENED,Capture scoped human preferences,Capture human preferences and corrections with explicit scope,"Operator choices shall carry scope, reasons and authority rather than silently becoming universal taste.","Every operator approval, rejection, candidate selection, natural-language revision, direct manipulation, tool override, taste explanation, and publication decision shall produce a HumanResolutionEpisode whose applicability scope is explicit and nonuniversal by default.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-101,AMENDED_AND_DEEPENED,Promote Steering Recipes through evidence,Promote Steering Recipes only through repeated evidence,"Repeated interventions may progress through proposal, experiment, validation, shadow and production with rollback.","Repeated successful, scoped interventions may advance a Steering Recipe through proposed, experimental, validated, shadow, limited-production, production, deprecated, and retired states with control comparisons, regression cases, human authority, and rollback.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-102,AMENDED_AND_DEEPENED,Prohibit uncontrolled online mutation,Prohibit uncontrolled online mutation while enabling automatic evidence capture,"Production execution may append evidence and permitted indexes but shall not rewrite model weights, canonical Skills or authority rules live.","Production may automatically append immutable episodes, retrieval indexes, and programming-material eligibility records, but it shall not rewrite model weights, canonical Skills, Steering Recipes, authority rules, or production defaults without an offline evaluated release and human authorization.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-103,PRESERVED_AND_DEEPENED,Emit composite execution-stack fingerprints,Emit composite execution-stack fingerprints,"Every node attempt shall record the authorized and resolved model, context, tools, retrieval indexes, runtime, precision, hardware and evaluator identities.","Every node attempt shall record the authorized and resolved model, context, tools, retrieval indexes, runtime, precision, hardware and evaluator identities.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-104,PRESERVED_AND_DEEPENED,Execute inside declared sandboxes,Execute inside declared sandboxes,"Nodes shall have explicit file, network, tool, cache, time, compute and side-effect permissions.","Nodes shall have explicit file, network, tool, cache, time, compute and side-effect permissions.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-105,PRESERVED_AND_DEEPENED,Record observable process receipts,Record observable process receipts,"Tool calls, resource access, state mutations, validation calls, denied actions and external requests shall be independently logged.","Tool calls, resource access, state mutations, validation calls, denied actions and external requests shall be independently logged.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-106,PRESERVED_AND_DEEPENED,Revalidate material changes,Revalidate material changes,"Changes to models, prompts, retrieval, tools, quantization, preprocessing, evaluator or runtime semantics shall trigger focused regression.","Changes to models, prompts, retrieval, tools, quantization, preprocessing, evaluator or runtime semantics shall trigger focused regression.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-107,PRESERVED_AND_DEEPENED,Monitor production signals,Monitor production signals,"The system shall track hard-gate failures, acceptance, candidates per result, repairs, escalations, retrieval errors, cost, latency and evaluator disagreement.","The system shall track hard-gate failures, acceptance, candidates per result, repairs, escalations, retrieval errors, cost, latency and evaluator disagreement.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-108,PRESERVED_AND_DEEPENED,Contain and restore incidents,Contain and restore incidents,"Affected claims may be quarantined, routed to a known-good fallback and restored only after regression evidence and release approval.","Affected claims may be quarantined, routed to a known-good fallback and restored only after regression evidence and release approval.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-109,AMENDED_AND_DEEPENED,Expose run and graph projections,Expose source-to-batch run and graph projections,"The Control Tower shall show runs, phases, Workflow Nodes, owners, status, blockers, costs and exact lineage.","The Studio Control Tower shall show the Canonical Interview Source Package, content-batch jobs, Harnesses, phases, Workflow Nodes, bounded roles, owners, status, blockers, costs, artifacts, source-time lineage, and exact execution evidence.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-110,AMENDED_AND_DEEPENED,Show live composition and timeline previews,Provide category-native supervisory previews over canonical programs,"Static and temporal workbenches shall display current programs, assets, candidates, evaluation and local repair state.","Static, video, interview, VAE, and knowledge/model Studio modules shall display the current canonical programs, source evidence, assets, candidates, evaluations, repairs, and allowed human actions without owning hidden production state.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-111,AMENDED_AND_DEEPENED,Implement explicit human gates,Apply Harness autonomy modes and explicit human gates,The system shall pause only for decisions assigned to human authority and record the decision scope.,"Each campaign shall operate in AUTOPILOT, REVIEW_BEFORE_SHIP, CHECKPOINTED, or SHADOW mode, pausing only at declared human authority nodes, genuine exceptions, budget or policy changes, or unresolved taste boundaries.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-112,AMENDED_AND_DEEPENED,Inspect retrieval and Programmed Model evidence,"Inspect retrieval, Skills, recipes, Programmed Models, and exclusions","Operators shall see retrieved knowledge, exclusions, model claim envelope, benchmark results, limitations and fallback.","Operators shall be able to inspect the JIT Capsule, retrieved Skills and Steering Recipes, authority filters, exclusions, contradictory evidence, model claim envelope, benchmark evidence, limitations, fallbacks, and the reason each item influenced the current decision.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-113,AMENDED_AND_DEEPENED,Expose runtime and tool health,"Expose runtime, provider, worker, and budget health","Skia, Remotion, HyperFrames, FFmpeg, PRETEXT, SAM3, Lucida and provider adapters shall expose preflight and health evidence.","The Studio shall expose preflight, compatibility, health, queue, lease, resource, cost, and failure evidence for Skia, PRETEXT, FFmpeg, Remotion, HyperFrames, VAE providers, GNM, workers, and other bound embodiments without treating their presence as production certification.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-114,AMENDED_AND_DEEPENED,Export audit and replay packages,Export source-to-ship audit and replay packages,"A completed run shall export receipts, manifests, execution fingerprints, artifacts, logs and replay instructions.","A completed campaign shall export the source package manifest, content-batch plan, Harnesses and bindings, JIT Capsules, typed programs, HumanResolutionEpisodes, artifacts, evaluations, execution fingerprints, logs, publication evidence, and replay instructions needed to reconstruct the accepted result.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-115,AMENDED_AND_DEEPENED,Build the Identity Anchor + Claim slice,Build the source-first interview-to-content-batch reference slice,"Release 1 shall execute one static Harness with existing assets, one Skill, a small Steering Recipe set, one real learned claim, Skia, evaluation and local repair.","Release 1 shall admit one real Activative Interview or imported interview, produce an accepted Canonical Interview Source Package, launch a source-backed batch, render one talking-head A-roll short and one Carousel or SuperVisual from the same source, execute bounded evaluation and repair, record at least one HumanResolutionEpisode, and preserve exact source lineage.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-116,AMENDED_AND_DEEPENED,Require complete release evidence,Require complete source-first release evidence,"The slice shall prove authority, retrieval, Programmed Model advantage, composition validity, evaluator calibration, sandbox, replay and fallback.","The Release 1 slice shall prove source authority and identity, dual-admission correctness, Harness and binding authority, retrieval relevance, program validity, renderer correctness, independent evaluation, local repair, human resolution capture, sandbox, cancellation/replay, fallback, and truthful claim ceilings.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-117,AMENDED_AND_DEEPENED,Reconcile current repository truth,Reconcile current repository and operator-local truth before implementation,Implementation shall not start until public and operator-local Builder/VAE/Delegation states are reconciled into Program Control.,"Implementation shall not begin until public and operator-local Builder, VAE, Delegation, Studio predecessor, campaign-amendment, and source-crosswalk states are reconciled into one Program Control status without rewriting historical receipts.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-118,AMENDED_AND_DEEPENED,Expand one boundary at a time,"Expand one source, category, runtime, provider, or learned claim boundary at a time","Each new Category, profile, runtime, provider, VAE path or learned claim shall carry scope-specific evidence.","Every expansion beyond Release 1 shall declare its source-package requirements, category/profile, derivative contract, runtime or provider binding, learned claim envelope, evaluator profile, source authority scope, rollback, and scope-specific evidence.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-119,AMENDED_AND_DEEPENED,Separate implementation from production claims,"Separate implementation, evidence closure, production readiness, and certification",Feature completion shall not automatically imply production readiness or certification.,"Feature code, local tests, successful real outputs, production readiness, evaluator certification, and product certification shall remain separate claim states with independent evidence and authority.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-120,AMENDED_AND_DEEPENED,Generate a bounded implementation handoff,Generate a bounded PRD-to-implementation handoff,"The PRD shall produce exact Epics/Stories, source allowlists, Development Capsules, test plans and authorization gates only after ratification.","After human ratification, the PRD shall produce a canonical FR ledger, value-based Epics, vertical CBAR-hardened Stories, Tech Spec candidates, exact source reuse dispositions, target paths, tests, evidence gates, Development Capsules, and authority boundaries without treating the planning package as implementation authorization.","Source-first interview production, product-boundary correction, Studio supervision, HumanResolution, GNM ownership, Format 02 deferral, or release correction."
FR-121,NEW_V1_1,,Establish the Canonical Interview Source Package as the batch root,,"The product shall represent each interview-derived campaign with one immutable Canonical Interview Source Package that binds the accepted source media, transcript, speakers, timestamps, tags, Expression Moments, keyframes, source authority, and provenance used by every derivative job.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-122,NEW_V1_1,,Support Activative Interview Brief-led admission,,"The Interview Expression integration shall admit sessions produced from an Activative Interview Brief, preserving planned Context Premises, Matrix of Edging, anchors, Interview Asset Contracts, intended tags, operator source authorization, and session design separately from what the participant actually expressed.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-123,NEW_V1_1,,Support imported interview and transcript admission as a first-class path,,"The product shall admit an existing interview video with an uploaded or generated transcript without pretending that an Activative Interview Brief, Matrix of Edging, planned anchors, or predeclared asset contracts existed.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-124,NEW_V1_1,,"Align transcript, speakers, time bases, and media technically",,"The source-package compiler shall reconcile word-level timestamps, phrase boundaries, speaker diarization, audio events, source frame/time bases, media duration, and transcript confidence before source spans become eligible.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-125,NEW_V1_1,,"Govern operator-declared source authority, operator-defined source handling, and derivative usage",,"The source package shall declare participant operator source authorization, ownership, allowed derivative formats, publication scope, model-training eligibility, identity/voice use, retention, source revocation, and restricted evidence before any job or learning disposition is admitted.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-126,NEW_V1_1,,"Version, supersede, and selectively invalidate source packages",,"Corrections to transcripts, speakers, tags, source authority, Expression Moments, or source assets shall create a new immutable source-package version and compute selective downstream invalidation rather than rewriting accepted history.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-127,NEW_V1_1,,"Separate planned, observed, inferred, confirmed, rejected, and superseded tags",,"Every source and routing tag shall declare its provenance state, evidence, confidence, authority, applicability, and lifecycle so an intended interview topic cannot be confused with an observed Expression Moment or an operator-confirmed route.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-128,NEW_V1_1,,Use the packed phrase-level transcript as the primary language reasoning surface,,"The Pipeline shall compile a compact, speaker-aware, time-annotated phrase transcript from cached word-level data and use it as the default text reasoning surface, loading raw words or visual composites only when the current decision requires them.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-129,NEW_V1_1,,"Build source shot maps, transitions, keyframes, and visual references",,"The source-package compiler shall detect existing shot boundaries and transitions, sample representative and expression-relevant keyframes, record camera/framing changes, and expose visual references without treating shot changes as semantic importance.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-130,NEW_V1_1,,Discover and approve Anchor Hits and Expression Moments,,"A bounded Expression Moment Hunter may propose source-backed spans using transcript, audio events, keyframes, Brief context, tags, and evidence; an Analyst validates truth and completeness, and only the authorized approval path may promote an Expression Moment.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-131,NEW_V1_1,,Preserve rejected and borderline expression evidence,,"Rejected, incomplete, invalid, low-confidence, or borderline Anchor Hit and Expression Moment candidates shall be stored with reasons, responsible failure layer, and future admissibility conditions rather than discarded.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-132,NEW_V1_1,,Compile an Expression Ingredient Inventory and Asset Package Spec,,"Interview Expression shall compile approved quotes, evidence, Expression Moments, keyframes, voice/audio references, visual references, tags, archetype opportunities, restrictions, and lineage into an Asset Package Spec that downstream Atomic Harnesses can consume without rediscovering the source.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-133,NEW_V1_1,,Compile one source-backed content-batch program,,"The Pipeline shall compile a Content Batch Orchestration Program from one accepted source package or Asset Package Spec, declaring target derivative jobs, Harnesses, shared ingredients, dependencies, budgets, deadlines, review modes, and source-lineage obligations.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-134,NEW_V1_1,,Route approved expression material through eligible archetypes and Harnesses,,"Archetype routing shall rank only current, category-eligible, source-supported routes using approved Expression Moments, tags, audience/context evidence, target platform, and Harness availability; it shall expose alternatives and never manufacture a fit.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-135,NEW_V1_1,,Create immutable derivative job contracts,,"Each batch job shall bind one Harness version, exact source-package and ingredient references, derivative type, target platform/profile, intended Activative and sequence function, output constraints, runtime capabilities, evaluation, source authority, and review policy.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-136,NEW_V1_1,,Share source analysis while preventing duplicate or conflicting derivatives,,"The batch runtime shall reuse accepted source transcripts, phrase packs, shot maps, keyframes, and approved moments, deduplicate overlapping derivative candidates, and detect conflicting source uses or near-duplicate outputs before production spend.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-137,NEW_V1_1,,"Represent Hunters, Analysts, Composers, and Commanders as bounded workflow roles",,"The Pipeline shall model Hunter, Analyst, Composer, and Commander responsibilities as explicit node roles with separate capabilities, tools, inputs, outputs, authority, and failure handling rather than hidden personas or a monolithic multi-agent prompt.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-138,NEW_V1_1,,Propagate source or batch changes through selective invalidation,,"When a source package, approved moment, route, source authority state, Harness, or shared ingredient is superseded, the batch runtime shall compute and rerun only affected jobs and descendants while preserving accepted unaffected work.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-139,NEW_V1_1,,Require talking-head A-roll as the base timeline for source-led shorts,,"Every interview-derived source-led short-video Harness shall preserve the original talking-head footage and source audio as the base temporal spine; B-roll, graphics, evidence, animation, captions, and reframing may support or temporarily interrupt it only under declared functions.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-140,NEW_V1_1,,Select source spans by expression and archetype function,,"A bounded A-roll selector shall choose eligible source spans using approved Expression Moments, phrase context, speaker, audio events, keyframes, target duration, archetype sequence, and must-preserve/must-exclude constraints.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-141,NEW_V1_1,,Enforce word-boundary EDL and audio continuity,,"Accepted source cuts shall snap to validated word or permitted silence/audio-event boundaries, use declared padding, preserve speaker handoffs and reactions where required, and apply production-correct audio fades and output-time caption mapping.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
FR-142,NEW_V1_1,,"Compile evidence, B-roll, captions, and motion slots as source support",,"The short-video Harness shall compile supporting visual treatments from source evidence, approved assets, keyframes, screenshots, diagrams, captions, and bounded motion-block requests, each with a declared narrative/Activative function, timing, geometry, and lineage.","New source-first interview, batch, A-roll, derivative, revision, or Studio behavior."
